generations,game_count,player_count_stat,avg_tr,min_tr,max_tr,std_tr,winner_avg_tr
5,5,7,42.57,29,58,12.96,52.0
6,29,46,45.28,21,82,13.82,51.96
7,95,156,45.92,20,107,14.56,53.13
8,344,558,48.36,20,120,13.37,54.5
9,562,893,51.23,18,127,13.66,56.85
10,555,888,53.56,12,149,15.26,59.1
11,359,581,54.98,19,152,15.53,60.22
12,157,248,57.67,20,124,15.1,63.12
13,56,89,59.88,27,103,16.19,64.35
14,17,23,68.0,44,164,24.49,74.62
15,5,8,80.38,35,157,40.35,98.4
16,5,7,86.71,38,143,39.47,103.8
