rank,player_name,matched_user,match_type,occurrences
179,requiemia,requiemia,exact,42
180,风风,风风,exact,42
181,迎风布阵,迎风布阵,exact,42
182,转瞬san,转瞬san,exact,42
183,sjenka,sjenka,exact,42
184,alon,alon,exact,41
185,zihan sun,zihan sun,exact,41
186,peach,peach,exact,40
187,冷殇www,冷殇www,exact,40
188,Askera,askera,case_insensitive,40
189,🔔❤️💤,🔔❤️💤,exact,40
190,SZH,szh,case_insensitive,40
191,quda,quda,exact,39
192,zuididi,zuididi,exact,39
193,rjw,rjw,exact,38
