generations,game_count,player_count_stat,avg_tr,min_tr,max_tr,std_tr,winner_avg_tr
3,15,58,30.98,20,45,6.34,35.07
4,232,882,31.31,11,65,7.11,36.14
5,1236,4729,32.56,12,66,7.45,37.45
6,1786,6681,33.94,12,90,7.8,39.02
7,755,2585,35.28,11,74,8.13,40.46
8,313,945,37.3,17,86,8.38,41.38
9,130,342,37.98,13,75,9.97,42.94
10,30,70,37.0,17,66,10.2,40.25
11,7,19,35.47,20,48,8.28,38.67
